DIP:58E	DIP:339N		SWP:P06139	PIR:BVECGL	GI:7429025	DIP:1081N		SWP:P04273	PIR:UJHYIH	GI:2144854
DIP:61E	DIP:1025N		SWP:P00968	PIR:SYECCP	GI:68663	DIP:1026N		SWP:P00907	PIR:SYECCS	GI:68268
DIP:62E	DIP:539N		SWP:P07622	PIR:MMECMG	GI:72516	DIP:508N		SWP:P02928	PIR:JGECM	GI:72544
DIP:169E	DIP:124N		SWP:P21891	PIR:A39202	GI:96549	DIP:726N			PIR:S30701	GI:421191
DIP:208E	DIP:367N		SWP:P07002	PIR:DEECXB	GI:2144347	DIP:366N		SWP:P07001	PIR:DEECXA	GI:16129561
DIP:263E	DIP:342N		SWP:P13458	PIR:BVECSC	GI:73012	DIP:572N		SWP:P03702	PIR:QGBPL	GI:76015
DIP:269E	DIP:572N		SWP:P03702	PIR:QGBPL	GI:76015	DIP:540N		SWP:P08394	PIR:NCECX5	GI:67271
DIP:270E	DIP:583N		SWP:P11191	PIR:RCBP22	GI:75879	DIP:540N		SWP:P08394	PIR:NCECX5	GI:67271
DIP:326E	DIP:341N		SWP:P12727	PIR:BVECRR	GI:72994	DIP:340N		SWP:P15027	PIR:BVECRO	GI:72997
DIP:327E	DIP:364N		SWP:P02339	PIR:DDEC	GI:7428646	DIP:340N		SWP:P15027	PIR:BVECRO	GI:72997
DIP:450E	DIP:1100N		SWP:P06974	PIR:XMECF2	GI:72621	DIP:408N			PIR:H64957	
DIP:451E	DIP:401N			PIR:G64957		DIP:408N			PIR:H64957	
DIP:452E	DIP:619N		SWP:P09120	PIR:S00903	GI:78402	DIP:408N			PIR:H64957	
DIP:453E	DIP:1100N		SWP:P06974	PIR:XMECF2	GI:72621	DIP:1100N		SWP:P06974	PIR:XMECF2	GI:72621
DIP:454E	DIP:1101N		SWP:P15070	PIR:XMECII	GI:73028	DIP:1100N		SWP:P06974	PIR:XMECF2	GI:72621
DIP:455E	DIP:565N		SWP:P00824	PIR:PWECB	GI:67830	DIP:564N		SWP:P00822	PIR:PWECA	GI:7428285
DIP:456E	DIP:568N		SWP:P00837	PIR:PWECG	GI:67874	DIP:567N		SWP:P00832	PIR:PWECE	GI:67860
DIP:457E	DIP:564N		SWP:P00822	PIR:PWECA	GI:7428285	DIP:566N		SWP:P00831	PIR:PWECD	GI:67853
DIP:458E	DIP:565N		SWP:P00824	PIR:PWECB	GI:67830	DIP:566N		SWP:P00831	PIR:PWECD	GI:67853
DIP:459E	DIP:568N		SWP:P00837	PIR:PWECG	GI:67874	DIP:566N		SWP:P00831	PIR:PWECD	GI:67853
DIP:460E	DIP:567N		SWP:P00832	PIR:PWECE	GI:67860	DIP:566N		SWP:P00831	PIR:PWECD	GI:67853
DIP:723E	DIP:349N			PIR:C64810		DIP:535N		SWP:P07176	PIR:LPECPG	GI:72588
DIP:734E	DIP:579N		SWP:P02378	PIR:R3EC20	GI:71042	DIP:154N		SWP:P24169	PIR:A40839	GI:96228
DIP:735E	DIP:581N		SWP:P02437	PIR:R5EC34	GI:71359	DIP:154N		SWP:P24169	PIR:A40839	GI:96228
DIP:736E	DIP:579N		SWP:P02378	PIR:R3EC20	GI:71042	DIP:307N			PIR:A65079	
DIP:737E	DIP:581N		SWP:P02437	PIR:R5EC34	GI:71359	DIP:307N			PIR:A65079	
